LANStream starting on http://0.0.0.0:8090  (local: http://localhost:8090)
INFO:     127.0.0.1:63519 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63521 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63535 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:63537 - "GET /api/watchlist HTTP/1.1" 200 OK
INFO:     127.0.0.1:63539 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52072 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52074 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52076 - "POST /api/watchlist/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:52078 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:52080 - "GET /api/watchlist HTTP/1.1" 200 OK
INFO:     127.0.0.1:52082 - "DELETE /api/watchlist/movies/4 HTTP/1.1" 204 No Content
INFO:     127.0.0.1:52084 - "GET /api/watchlist/movies/4/status HTTP/1.1" 200 OK
INFO:     127.0.0.1:62642 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:62644 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:62645 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58197 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:63560 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63562 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60019 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:64262 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:64264 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:58588 - "GET /api/progress/continue-watching HTTP/1.1" 200 OK
INFO:     127.0.0.1:55697 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:64266 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:50834 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:62772 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:64099 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:56723 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:56725 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58042 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:58044 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:50062 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:54654 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:58149 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52981 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60013 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63928 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:62713 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52505 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:56627 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53594 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:51019 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:51021 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:59488 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59490 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:56075 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59891 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58269 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:51735 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:53660 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:56546 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:60483 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:55661 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:63942 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:50062 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:52532 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:61209 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58010 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:61167 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:61168 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:61170 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:61172 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:64807 - "GET /api/disk-usage HTTP/1.1" 200 OK
INFO:     127.0.0.1:64973 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:59223 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59225 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:63934 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:54508 - "GET /api/settings HTTP/1.1" 200 OK
