LANStream starting on http://0.0.0.0:8090  (local: http://localhost:8090)
INFO:     127.0.0.1:57569 - "GET /api/health HTTP/1.1" 200 OK
INFO:     127.0.0.1:60201 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60203 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:51178 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:51180 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:51184 - "GET /api/stream/movies/1 HTTP/1.1" 404 Not Found
INFO:     127.0.0.1:57828 - "POST /api/movies HTTP/1.1" 201 Created
INFO:     127.0.0.1:57832 - "POST /api/movies/2/video HTTP/1.1" 200 OK
INFO:     127.0.0.1:57834 - "POST /api/movies HTTP/1.1" 201 Created
INFO:     127.0.0.1:57836 - "POST /api/movies/3/video HTTP/1.1" 200 OK
INFO:     127.0.0.1:57838 - "POST /api/movies HTTP/1.1" 201 Created
INFO:     127.0.0.1:61219 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:61221 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:61223 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:61225 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:65477 - "POST /api/movies/4/video HTTP/1.1" 200 OK
INFO:     127.0.0.1:65480 - "POST /api/movies HTTP/1.1" 201 Created
INFO:     127.0.0.1:65482 - "GET /api/stream/movies/2 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:65484 - "POST /api/movies/5/video HTTP/1.1" 200 OK
INFO:     127.0.0.1:61226 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:61224 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:61228 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:61230 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:61232 - "GET /api/stream/movies/2 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:54441 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:54443 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:54440 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:54445 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:54447 - "GET /api/media/Movies/Interstellar/poster.jpg HTTP/1.1" 200 OK
INFO:     127.0.0.1:54450 - "GET /api/stream/movies/2 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:52048 - "GET /api/stream/movies/2 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:58752 - "GET /api/stream/movies/3 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:56443 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:63054 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:60334 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:53275 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:53273 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:56197 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:57921 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:65122 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:53737 - "GET /api/stream/movies/3 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:49324 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:49326 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:49328 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:49330 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:49332 - "GET /api/stream/movies/5 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:63751 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:63750 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63755 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:63754 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:63757 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:63759 - "GET /api/stream/movies/4 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:55773 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:55771 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:55777 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:55775 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:57092 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:57090 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:52147 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:52149 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60017 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60016 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60019 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:56322 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59199 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59201 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:65329 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:65327 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60495 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:60493 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:60497 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:51706 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:62155 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:59728 - "GET /api/stream/movies/5 HTTP/1.1" 206 Partial Content
INFO:     127.0.0.1:58984 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58983 - "GET /api/movies HTTP/1.1" 200 OK
INFO:     127.0.0.1:58982 - "GET /api/settings HTTP/1.1" 200 OK
INFO:     127.0.0.1:58986 - "GET /api/shows HTTP/1.1" 200 OK
INFO:     127.0.0.1:58990 - "GET /api/settings HTTP/1.1" 200 OK
